id,sea_skill,tp_skill
TGS-2018504800,['Fraud Detection And Prevention'],['Benefits Management']
TGS-2018504824,"['Advocacy And Representation', 'Innovation', 'Sales Target Management']",['Sales Target Management']
TGS-2018504825,['Metrology Management'],['Equipment Maintenance']
TGS-2018504826,['Metrology Management'],['Equipment Maintenance']
TGS-2018504827,['Metrology Management'],['Equipment Maintenance']
TGS-2018504828,['Metrology Management'],['Equipment Maintenance']
TGS-2018504829,['Metrology Management'],['Equipment Maintenance']
TGS-2018504830,['Metrology Management'],['Equipment Maintenance']
TGS-2018504831,['Metrology Management'],['Equipment Maintenance']
TGS-2018504845,['Metrology Management'],['Equipment Maintenance']
TGS-2018504846,['Metrology Management'],['Equipment Maintenance']
TGS-2018504848,['Metrology Management'],['Equipment Maintenance']
TGS-2018504849,['Metrology Management'],['Equipment Maintenance']
TGS-2018504850,['Metrology Management'],['Equipment Maintenance']
TGS-2018504851,['Metrology Management'],['Equipment Maintenance']
TGS-2018504852,['Metrology Management'],['Equipment Maintenance']
TGS-2018504853,['Metrology Management'],['Equipment Maintenance']
TGS-2018504854,['Metrology Management'],['Equipment Maintenance']
TGS-2018504872,['Metrology Management'],['Metrology Management']
TGS-2018504873,['Metrology Management'],['Metrology Management']
TGS-2018504881,['Process Control'],['Quality Process Control']
TGS-2018504882,['Process Control'],['Quality Process Control']
TGS-2018504883,['Process Control'],['Quality Process Control']
TGS-2018504884,['Process Control'],['Quality Process Control']
TGS-2018504885,['Yield Analysis'],['Yield Analysis']
TGS-2018504891,['Quality Assurance And Audit'],['Audit Management']
TGS-2018504892,['Quality Assurance And Audit'],['Audit Management']
TGS-2018504894,['Failure Analysis'],['Failure Analysis']
TGS-2018504896,['Failure Analysis'],['Failure Analysis']
TGS-2018504897,['Warehouse Layout Design'],['Failure Analysis']
TGS-2018504900,['Asian Cold Dish And Dessert Preparation'],['Asian Cold Dish And Dessert Preparation']
TGS-2018504905,['Quality Assurance'],['Quality Control And Assurance']
TGS-2018504906,['Quality Assurance'],['Quality Control And Assurance']
TGS-2018504907,['Quality Assurance'],['Quality Control And Assurance']
TGS-2018504908,"['Engineering Management Of Change', 'Process Control', 'Change Management']",['Quality Control And Assurance']
TGS-2018504909,"['Engineering Management Of Change', 'Change Management']",['Quality Control And Assurance']
TGS-2018504910,"['Material Management (Planning, Sourcing, Use, Disposal)']",['Quality Control And Assurance']
TGS-2018504918,['Lean Manufacturing'],['Production Performance Management']
TGS-2018504921,['Metrology Management'],['Production Performance Management']
TGS-2018504925,"['Conflict Management', 'Communication', 'Dispute Resolution']",['Dispute Resolution']
TGS-2018504936,['Waste Collection Management'],['Facilities Maintenance']
TGS-2018504963,['Process Integration'],['Process Integration']
TGS-2018504964,['Process Integration'],['Process Integration']
TGS-2018504965,['Process Integration'],['Process Integration']
TGS-2018504966,['Process Integration'],['Process Integration']
TGS-2018504967,['Process Integration'],['Process Integration']
TGS-2018504968,['Process Integration'],['Process Integration']
TGS-2018504969,['Process Integration'],['Process Integration']
TGS-2018504970,['Process Integration'],['Process Integration']
TGS-2018504971,['Process Integration'],['Process Integration']
